front,back
"On dit que&nbsp;[$](u_n)_{n \in \mathbb{N} }[/$] est {{c2::négligeable}} devant [$](v_n)_{n \in \mathbb{N} }[/$] ou que&nbsp;[$](v_n)_{n \in \mathbb{N} }[/$] est {{c2::prépondérante}} devant [$](u_n)_{n \in \mathbb{N} }[/$] si&nbsp;<div><br /></div><div>{{c3::[$] \forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; |u_n| \leq \varepsilon&nbsp;|v_n|[/$] }}</div><div><br /></div><div>et on note {{c1::[$$] u_n \underset{n \rightarrow +\infty&nbsp;}{=} o(v_n)[/$$] ou quand [$$]n \rightarrow \infty, u_n = o(v_n) [/$$] }}</div>",
"On dit que&nbsp;[$](u_n)_{n \in \mathbb{N} }[/$] est {{c2::négligeable}} devant [$](v_n)_{n \in \mathbb{N} }[/$] ou que&nbsp;[$](v_n)_{n \in \mathbb{N} }[/$] est {{c2::prépondérante}} devant [$](u_n)_{n \in \mathbb{N} }[/$] si&nbsp;<div><br /></div><div>{{c3::[$] \forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; |u_n| \leq \varepsilon&nbsp;|v_n|[/$] }}</div><div><br /></div><div>et on note {{c1::[$$] u_n \underset{n \rightarrow +\infty&nbsp;}{=} o(v_n)[/$$] ou quand [$$]n \rightarrow \infty, u_n = o(v_n) [/$$] }}</div>",
"On dit que&nbsp;[$](u_n)_{n \in \mathbb{N} }[/$] est {{c2::négligeable}} devant [$](v_n)_{n \in \mathbb{N} }[/$] ou que&nbsp;[$](v_n)_{n \in \mathbb{N} }[/$] est {{c2::prépondérante}} devant [$](u_n)_{n \in \mathbb{N} }[/$] si&nbsp;<div><br /></div><div>{{c3::[$] \forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; |u_n| \leq \varepsilon&nbsp;|v_n|[/$] }}</div><div><br /></div><div>et on note {{c1::[$$] u_n \underset{n \rightarrow +\infty&nbsp;}{=} o(v_n)[/$$] ou quand [$$]n \rightarrow \infty, u_n = o(v_n) [/$$] }}</div>",
"<div><u>Caractérisation de la relation de prépondérance.</u></div><div><br /></div>Soit [$](u_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }\; et\; (v_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }&nbsp;[/$] dont le terme général est non nul à partir d'un certain rang.<div><br /></div><div>[$$]u_n \underset{n \rightarrow +\infty&nbsp;}{=} o(v_n) \Leftrightarrow&nbsp;{{c1::\forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; &nbsp;| \frac{u_n}{v_n}| \leq \varepsilon}} \Leftrightarrow {{c2::\lim_{n \rightarrow +\infty} \frac{u_n}{v_n} = 0}}&nbsp;[/$$]</div>",
"<div><u>Caractérisation de la relation de prépondérance.</u></div><div><br /></div>Soit [$](u_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }\; et\; (v_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }&nbsp;[/$] dont le terme général est non nul à partir d'un certain rang.<div><br /></div><div>[$$]u_n \underset{n \rightarrow +\infty&nbsp;}{=} o(v_n) \Leftrightarrow&nbsp;{{c1::\forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; &nbsp;| \frac{u_n}{v_n}| \leq \varepsilon}} \Leftrightarrow {{c2::\lim_{n \rightarrow +\infty} \frac{u_n}{v_n} = 0}}&nbsp;[/$$]</div>",
"Soit [$]n \in \mathbb{N}[/$],&nbsp;<div><br /></div><div>[$$]a^n&nbsp;\underset{n \rightarrow +\infty&nbsp;}{=} {{c1::o(n!)}}[/$$]</div>",
"<div><u>Caractérisation de la relation de domination.</u></div><div><br /></div>Soit [$](u_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }\; et\; (v_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }&nbsp;[/$] dont le terme général est non nul à partir d'un certain rang.<div><br /></div><div>[$$]u_n \underset{n \rightarrow +\infty&nbsp;}{=} O(v_n) \Leftrightarrow&nbsp;{{c1:: \exists M \in \mathbb{R}, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; &nbsp;| \frac{u_n}{v_n}| \leq M}} \Leftrightarrow {{c2::\frac{u_n}{v_n} \;est\; bornee}}[/$$]&nbsp;</div>",
"<div><u>Caractérisation de la relation de domination.</u></div><div><br /></div>Soit [$](u_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }\; et\; (v_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }&nbsp;[/$] dont le terme général est non nul à partir d'un certain rang.<div><br /></div><div>[$$]u_n \underset{n \rightarrow +\infty&nbsp;}{=} O(v_n) \Leftrightarrow&nbsp;{{c1:: \exists M \in \mathbb{R}, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; &nbsp;| \frac{u_n}{v_n}| \leq M}} \Leftrightarrow {{c2::\frac{u_n}{v_n} \;est\; bornee}}[/$$]&nbsp;</div>",
"<div>Soit [$](u_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }\; et\; (v_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }&nbsp;[/$] dont le terme général est non nul à partir d'un certain rang.</div><div><br /></div><div>On dit que&nbsp;[$](u_n)_{n \in \mathbb{N} }[/$] est équivalente à&nbsp;[$](v_n)_{n \in \mathbb{N} }[/$] si&nbsp;</div><div><br /></div><div>{{c1::[$] \forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; |u_n - v_n| \leq \varepsilon&nbsp;|v_n|[/$]&nbsp;}}</div><div><br /></div><div>c'est à dire [$$]u_n - v_n&nbsp;\underset{n \rightarrow +\infty }{=} {{c2::o(v_n)[/$$] ou encore [$$]u_n&nbsp;\underset{n \rightarrow +\infty }{=} v_n + o(v_n)}}&nbsp;[/$$]</div><div><br /></div><div>On note alors [$]u_n&nbsp;\underset{n \rightarrow +\infty }{\sim} v_n[/$] &nbsp; ou quand [$]n \rightarrow +\infty\quad u_n &nbsp;\sim v_n&nbsp;[/$]</div>",
"<div>Soit [$](u_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }\; et\; (v_n)_{n \in \mathbb{N} } \in \mathbb{R}^{\mathbb{N} }&nbsp;[/$] dont le terme général est non nul à partir d'un certain rang.</div><div><br /></div><div>On dit que&nbsp;[$](u_n)_{n \in \mathbb{N} }[/$] est équivalente à&nbsp;[$](v_n)_{n \in \mathbb{N} }[/$] si&nbsp;</div><div><br /></div><div>{{c1::[$] \forall \varepsilon &gt;0, \exists n_0 \in \mathbb{N}, \forall n \in&nbsp;&nbsp;[\![ n_0;+\infty [\![ ,\; |u_n - v_n| \leq \varepsilon&nbsp;|v_n|[/$]&nbsp;}}</div><div><br /></div><div>c'est à dire [$$]u_n - v_n&nbsp;\underset{n \rightarrow +\infty }{=} {{c2::o(v_n)[/$$] ou encore [$$]u_n&nbsp;\underset{n \rightarrow +\infty }{=} v_n + o(v_n)}}&nbsp;[/$$]</div><div><br /></div><div>On note alors [$]u_n&nbsp;\underset{n \rightarrow +\infty }{\sim} v_n[/$] &nbsp; ou quand [$]n \rightarrow +\infty\quad u_n &nbsp;\sim v_n&nbsp;[/$]</div>",
"Soit u,v,a et b 4 suites réelles dont le terme général est non nul à partir d'un certain rang.&nbsp;<div><br /></div><div>Si [$$]\begin{cases} u_n&nbsp;\underset{n \rightarrow +\infty }{\sim} a_n \\&nbsp;v_n&nbsp;\underset{n \rightarrow +\infty }{\sim} b_n \end{cases}[/$$] &nbsp; &nbsp;alors [$$]\begin{cases}&nbsp;u_n v_n \underset{n \rightarrow +\infty }{\sim} {{c1::a_n b_n}} \\ \frac{u_n}{v_n} \underset{n \rightarrow +\infty }{\sim} {{c2::\frac{a_n}{b_n} }} \end{cases}[/$$]</div><div><br /></div>",
"Soit u,v,a et b 4 suites réelles dont le terme général est non nul à partir d'un certain rang.&nbsp;<div><br /></div><div>Si [$$]\begin{cases} u_n&nbsp;\underset{n \rightarrow +\infty }{\sim} a_n \\&nbsp;v_n&nbsp;\underset{n \rightarrow +\infty }{\sim} b_n \end{cases}[/$$] &nbsp; &nbsp;alors [$$]\begin{cases}&nbsp;u_n v_n \underset{n \rightarrow +\infty }{\sim} {{c1::a_n b_n}} \\ \frac{u_n}{v_n} \underset{n \rightarrow +\infty }{\sim} {{c2::\frac{a_n}{b_n} }} \end{cases}[/$$]</div><div><br /></div>",
"Soit [$]\beta &gt; 0, \alpha &gt;0[/$].<div><br /></div><div>[$$](ln(n))^\beta&nbsp;\underset{n \rightarrow +\infty }{=} {{c1::o(n^\alpha)}}[/$$]</div>",
"Soit [$]\alpha &gt;0, a&gt;1[/$].<div><br /></div><div>[$$]n^\alpha \underset{n \rightarrow +\infty }{=} {{c1::o(a^n)}}[/$$]</div>",
"Soit G un ensemble muni d'une loi de composition interne [$](\ast&nbsp;)[/$].<div><br /></div><div>On dit que [$](G,&nbsp;\ast )[/$] est {{c4::un groupe}} si&nbsp;</div><div><br /></div><div>1. {{c1::[$]\ast[/$] est associative }}</div><div><br /></div><div>2. {{c2::G possède un élément neutre pour [$]\ast[/$]}}</div><div><br /></div><div>3. {{c3::Tout élément de G est symétrisable}}. &nbsp;</div>",
"Soit G un ensemble muni d'une loi de composition interne [$](\ast&nbsp;)[/$].<div><br /></div><div>On dit que [$](G,&nbsp;\ast )[/$] est {{c4::un groupe}} si&nbsp;</div><div><br /></div><div>1. {{c1::[$]\ast[/$] est associative }}</div><div><br /></div><div>2. {{c2::G possède un élément neutre pour [$]\ast[/$]}}</div><div><br /></div><div>3. {{c3::Tout élément de G est symétrisable}}. &nbsp;</div>",
"Soit G un ensemble muni d'une loi de composition interne [$](\ast&nbsp;)[/$].<div><br /></div><div>On dit que [$](G,&nbsp;\ast )[/$] est {{c4::un groupe}} si&nbsp;</div><div><br /></div><div>1. {{c1::[$]\ast[/$] est associative }}</div><div><br /></div><div>2. {{c2::G possède un élément neutre pour [$]\ast[/$]}}</div><div><br /></div><div>3. {{c3::Tout élément de G est symétrisable}}. &nbsp;</div>",
"Soit G un ensemble muni d'une loi de composition interne [$](\ast&nbsp;)[/$].<div><br /></div><div>On dit que [$](G,&nbsp;\ast )[/$] est {{c4::un groupe}} si&nbsp;</div><div><br /></div><div>1. {{c1::[$]\ast[/$] est associative }}</div><div><br /></div><div>2. {{c2::G possède un élément neutre pour [$]\ast[/$]}}</div><div><br /></div><div>3. {{c3::Tout élément de G est symétrisable}}. &nbsp;</div>",
"Soit A un ensemble muni de deux lois de composition interne notées (+) et (.)<div><br /></div><div>On dit que (A,+,.) est un anneau si&nbsp;</div><div><br /></div><div>1. {{c1::(A,+) est un groupe commutatif.}}</div><div><br /></div><div>2. (a) {{c2::La loi (.) est associative}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c3::La loi (.) est distributive par rapport à (+)&nbsp;}}</div><div><br /></div><div>&nbsp; &nbsp; (c) {{c4::A possède un élément neutre pour (.)}}</div>",
"Soit A un ensemble muni de deux lois de composition interne notées (+) et (.)<div><br /></div><div>On dit que (A,+,.) est un anneau si&nbsp;</div><div><br /></div><div>1. {{c1::(A,+) est un groupe commutatif.}}</div><div><br /></div><div>2. (a) {{c2::La loi (.) est associative}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c3::La loi (.) est distributive par rapport à (+)&nbsp;}}</div><div><br /></div><div>&nbsp; &nbsp; (c) {{c4::A possède un élément neutre pour (.)}}</div>",
"Soit A un ensemble muni de deux lois de composition interne notées (+) et (.)<div><br /></div><div>On dit que (A,+,.) est un anneau si&nbsp;</div><div><br /></div><div>1. {{c1::(A,+) est un groupe commutatif.}}</div><div><br /></div><div>2. (a) {{c2::La loi (.) est associative}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c3::La loi (.) est distributive par rapport à (+)&nbsp;}}</div><div><br /></div><div>&nbsp; &nbsp; (c) {{c4::A possède un élément neutre pour (.)}}</div>",
"Soit A un ensemble muni de deux lois de composition interne notées (+) et (.)<div><br /></div><div>On dit que (A,+,.) est un anneau si&nbsp;</div><div><br /></div><div>1. {{c1::(A,+) est un groupe commutatif.}}</div><div><br /></div><div>2. (a) {{c2::La loi (.) est associative}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c3::La loi (.) est distributive par rapport à (+)&nbsp;}}</div><div><br /></div><div>&nbsp; &nbsp; (c) {{c4::A possède un élément neutre pour (.)}}</div>",
"Soit K un ensemble muni de deux lois de composition interne notée (+) et (.). On dit que (K,+,.) est {{c1::un corps}} si&nbsp;<div><br /></div><div>1. {{c2::(K,+,.) est un anneau non réduit à {0} }}</div><div><br /></div><div>2. {{c3::Tout élément de K\{0} est inversible pour (.) }}</div>",
"Soit K un ensemble muni de deux lois de composition interne notée (+) et (.). On dit que (K,+,.) est {{c1::un corps}} si&nbsp;<div><br /></div><div>1. {{c2::(K,+,.) est un anneau non réduit à {0} }}</div><div><br /></div><div>2. {{c3::Tout élément de K\{0} est inversible pour (.) }}</div>",
"Soit K un ensemble muni de deux lois de composition interne notée (+) et (.). On dit que (K,+,.) est {{c1::un corps}} si&nbsp;<div><br /></div><div>1. {{c2::(K,+,.) est un anneau non réduit à {0} }}</div><div><br /></div><div>2. {{c3::Tout élément de K\{0} est inversible pour (.) }}</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
"Soit K un corps et E un ensemble muni&nbsp;<div><br /></div><div>1. {{c1::d'une loi de composition interne notée (+) et telle que (E, +) soit un groupe commutatif.}}</div><div><br /></div><div>2. {{c2::d'une loi de composition externe notée par juxtaposition [$]\begin{aligned} K \times E &amp;\to E \\ (\lambda,&nbsp;\overrightarrow{x}) &amp;\mapsto \lambda&nbsp;\overrightarrow{x} \end{aligned}[/$] et}} vérifiant</div><div><br /></div><div>&nbsp; &nbsp; (a) {{c3::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha + \beta)\overrightarrow{x} = \alpha&nbsp;\overrightarrow{x} + \beta&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (b) {{c4::[$]\forall (\alpha) \in K, \forall (\overrightarrow{x},&nbsp;\overrightarrow{y}) \in E^2,\; \alpha(\overrightarrow{x} +&nbsp;\overrightarrow{y}) = \alpha&nbsp;\overrightarrow{x} + \alpha&nbsp;\overrightarrow{y}[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (c)&nbsp;{{c5::[$]\forall (\alpha, \beta) \in K^2, \forall&nbsp;\overrightarrow{x} \in E,\; (\alpha \beta)\overrightarrow{x} = \alpha( \beta&nbsp;\overrightarrow{x})[/$]}}</div><div><br /></div><div>&nbsp; &nbsp; (d) {{c6::[$]\forall&nbsp;\overrightarrow{x} \in E,\; 1_{K}&nbsp;\overrightarrow{x} =&nbsp;\overrightarrow{x}[/$]}}</div><div><br /></div><div>On dit alors que (E, +, loi externe) est {{c7::un espace vectoriel sur K ou un K-espace-vectoriel.}}</div><div><br /></div><div>Les éléments de E sont appelés {{c8::vecteurs}} et les éléments de K sont appelés {{c9::scalaires}}.</div>",
